Ticker
ENPH
HYN
SPRC
SAPGF
DHI
HSC
JBLU
TDOC
TOWN
LUNR
FBP
CF
BOIL
ARVL
STOS
MNS
FOAM
INO
HZNP
KWEB
CSX
NTP
FEG
BRZE
APE
VERU
MU
BFRI
PBTS
AE
CVP
NEX
LEGN
AG
CUDOS
HUM
XEM
VAL
HIG
FBACM
SOXL
EXRD
LOG
POWW
DOW
ZIL
HNT
LCID
VSP
HYG
GTO
KYL
ATOLO
PRTYN
ICHI
BADGER
IFRX
CUZ
THRD
ALICE
CTSI
VTGN
EXEL
NWBO
OXY
SCYX
ACTC
GTE
PHB
ANT
LUNC
PYPL
XNO
ISRG
RON
HPQ
HSTO
HPT
HLBZ
APPS
TONR
UPI
LINA
MRNA
TOMO
KUNCI
BRX
ET
VALE
CBK
PAQC
AALP
APLD
UBER
BBAI
AUY
EMR
BRWL
TTD
DMYI
BNANA
PNT
JETS
FERN
DOCK
ZVO
DHR
STM
ZEON
OP
ETON
HTHT
AFMD
ABYSS
ABMD
AAPL
PHGE
FIDA
AEYE
LABD
GEO
CTSO
FTK
PPT
GNS
NBLD
TELL
RVN
PGEN
LAZR
RAE
CTMX
HOTH
BABA
LOMA
TSLA
FLOW
DKS
RIF
OGN
FITB
AVCT
CPRX
NVDA
AVTR
WBD
ADXN
PRTY
BB
BAKE
PRQR
AXP
DACXI
EVZ
HOLO
XRP
PHUN
ATCX
JOBY
HLVX
HMBL
STRS
FORTH
MPL
CPRT
BBIG
EVFM
HTCR
LBTYA
AMD
SWTR
ADMA
HIGH
DDX
GMCOIN
IQ
IFBD
BIOE
ONT
TTCF
CFX
BOMO
AQN
BBWI
KWN
BURGER
HOOK
TMTG
BE
CDTX
IRTC
AFRM
PIK
AES
BC
KSS
GFI
MGTA
SIGA
GLD
CREAM
NFTD
FRSH
BCH
RMED
PLX
TGTC
BEAM
ORAI
MO
ATNF
HAAC
PZM
ZM
PRQS
CTCN
VRTX
SAITO
XBI
OCGN
COP
DAO
CPB
SE
FXS
APX
FKWL
SCRT
LEV
ICOA
USER
VERV
YFII
XSPA
HYZN
ENLC
SYS
HES
SIRI
HMHC
CGC
INFN
FUBO
